requirement_id,standard_id,label,source,embedding_cosine_sim,embedding_cosine_sim_rank,bm25_score,bm25_score_rank,tfidf_cosine_sim,token_jaccard,technical_keyword_overlap_ratio,numeric_param_match_ratio,numeric_param_count_requirement,numeric_param_count_standard,ics_code_match,unit_overlap_ratio,rrf_score,rrf_rank,standard_status_current,standard_age_years,requirement_length_ratio,rrf_score_rank
req_503,IS_1554_Part1_1988_H,1,synthetic,0.2929723346276448,1.0,5.385340848709512,2.0,0.6521113358768396,0.3423539255893548,0.3700216518397687,0.58772980726803,4.0,3.0,1.0,0.5997220874860975,0.031351859234535547,1.0,0.5,38.0,1.8141150854194266,1.0
req_101,IS_13920_2016,1,synthetic,0.5636393173539809,1.0,6.437166567738411,1.0,0.5156938110010243,0.2606054274870966,0.2606054274870966,0.4752847789588185,3.0,4.0,0.0,0.4856784586554031,0.0323558578420403,5.0,1.0,10.0,3.053692487981289,5.0
req_095,IS_2074_1992_H,1,synthetic,0.4415051863348647,2.0,4.729644177332585,2.0,0.4294057266194871,0.11895529517766694,0.07891420252063598,0.745851468959604,4.0,4.0,0.0,0.0029872316205555457,0.03232437549795089,2.0,1.0,34.0,2.381135802214629,2.0
req_548,IS_3034_1993,0,synthetic,0.1913036544064096,1.0,2.3334536508285,1.0,0.309747715896837,0.1146478452705941,0.1146478452705941,0.0767815591001934,4.0,3.0,0.0,0.0,0.0311417479219002,2.0,1.0,33.0,3.43599593650127,2.0
req_082,IS_73_2013_H,1,synthetic,0.10165716056033919,5.0,2.291212461529662,2.0,0.15614261726518922,0.05737027844660038,0.0736025561857482,0.0,0.0,3.0,0.0,0.049500628139659206,0.032372916610626794,4.0,1.0,13.0,1.5962110433585297,4.0
req_077,IS_875_Part1_1987_H,0,synthetic,0.2357875120898065,4.0,2.1318116008179473,3.0,0.1775823465005908,0.07361597825162407,0.08177226441657078,0.22014052282893365,1.0,0.0,0.0,0.027269946128677437,0.0320453470602543,6.0,1.0,39.0,1.9894860482491705,6.0
req_581,IS_458_2003,1,synthetic,0.183377650829963,1.0,1.4416042376968847,2.0,0.2981423969999719,0.1304347826086956,0.1304347826086956,0.0,0.0,0.0,0.0,0.0,0.032258064516129,1.0,1.0,23.0,2.0434782608695654,1.0
req_374,IS_1077_1992_H,1,synthetic,0.10398890399368957,1.0,1.3508456392558568,1.0,0.32723477283712615,0.09341041384479344,0.07654461502181019,0.18453917947635334,4.0,0.0,0.0,0.0,0.03212121689442041,1.0,1.0,34.0,2.744943985359201,1.0
req_019,IS_269_2015,0,synthetic,0.120978363533788,6.0,0.2143256536334215,5.0,0.0796537145017202,0.1725489859425427,0.1725489859425427,0.242138481982314,3.0,1.0,0.0,0.0,0.0329462315279587,1.0,1.0,11.0,2.139555786439631,1.0
req_092,IS_383_2016_H,0,synthetic,0.2723214007469441,4.0,0.730370606380716,4.0,0.22726839950498243,0.10053829183012686,0.10973621134834338,0.11901688084550179,1.0,1.0,1.0,0.044070455570281795,0.03227319811083929,2.0,1.0,10.0,2.5178017628981895,2.0
req_016,IS_2062_2011,0,manual,0.2429460316589906,2.0,1.038490141619212,4.0,0.3939192985791676,0.1818181818181818,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0325224748810153,1.5,1.0,15.0,2.943661971830986,1.5
req_083,IS_875_Part3_2015_H,0,synthetic,0.23236166722874838,4.0,1.2346111625412994,3.0,0.13854201746681807,0.10874372313874422,0.11481421084681903,0.05803444507865258,1.0,0.0,0.0,0.0,0.031658555023735706,5.0,1.0,11.0,2.1547723999604425,5.0
req_034,IS_2911_Part1_Sec2_2010_H,0,synthetic,0.12412294880023454,3.0,2.37313828556174,4.0,0.1656002411525224,,0.07612579093175971,0.10633356541267935,2.0,0.0,0.0,0.0,0.0324353474992835,2.0,1.0,16.0,3.179953083531558,2.0
req_227,IS_2911_Part1_Sec1_2010,0,synthetic,0.1062888222941981,2.0,0.8404793623998136,2.0,0.0824762320290997,0.1113342584542407,0.1113342584542407,0.0,0.0,2.0,0.0,0.0378764336745433,0.0317351221012307,2.0,1.0,16.0,3.042123235051597,2.0
req_107,IS_694_2010,1,synthetic,0.2199386242127096,2.0,6.405432826793733,1.0,0.4597549341899367,0.3745964366916227,0.3745964366916227,0.0,0.0,1.0,1.0,0.792981706277443,0.0320337356451468,7.0,1.0,16.0,3.060661657386656,7.0
req_078,IS_875_Part3_2015,0,synthetic,0.2192431462495527,4.0,0.9709347786218134,6.0,0.0659655812846716,0.1161964035897616,0.1161964035897616,0.0,0.0,2.0,0.0,0.0,0.0316457302991799,6.0,1.0,11.0,1.9164437286088207,6.0
req_389,IS_13920_2016,0,synthetic,0.2549327781036006,1.0,2.655348758482308,1.0,0.081114233195244,0.1115018377609622,0.1115018377609622,0.1842076101088316,1.0,3.0,0.0,0.0,0.0317782073611702,2.0,1.0,10.0,2.744310053158052,2.0
